year,region,seed_variety,rainfall_mm,temperature_c,fertilizer_kg_ha,soil_ph,soil_organic_matter_pct,field_size_ha,pests_index,irrigated,yield_t_ha
2021,South East,Improved B,1501.6,28.05,83.1,5.28,2.0,2.73,5.85,0,3.65
2018,South West,Local,995.8,27.19,83.3,5.07,1.84,0.73,3.43,0,3.68
2010,North East,Local,1292.2,27.56,80.8,6.63,1.92,0.96,2.87,1,4.83
2020,South South,Improved A,1101.7,24.9,76.6,5.07,2.11,0.92,4.2,0,3.59
2020,North West,Improved B,1207.2,24.36,54.0,5.98,1.5,3.15,1.57,0,4.47
2019,North East,Improved B,1519.6,25.99,137.2,6.46,1.49,2.9,1.95,0,4.92
2021,North West,Local,1247.8,25.66,56.7,6.31,1.31,2.21,3.01,0,4.74
2021,North Central,Improved A,1211.6,25.09,52.0,6.46,1.2,3.14,4.17,0,4.68
2023,North East,Local,860.0,27.39,57.0,6.33,1.39,0.97,2.79,0,4.26
2023,South South,Local,1386.6,27.91,60.1,6.97,2.08,2.03,0.44,0,4.7
2023,North East,Local,1361.4,26.18,10.1,5.63,1.55,1.53,3.09,1,3.56
2012,North East,Local,,28.96,24.3,5.79,2.26,2.74,2.2,0,3.2
2021,North East,Improved B,1123.1,23.72,46.1,5.74,2.02,1.54,2.78,0,4.51
2016,South West,Improved B,1254.8,25.61,9.5,6.7,1.02,1.31,2.48,1,4.07
2013,North East,Local,1262.3,24.57,,6.74,2.33,2.28,2.44,0,4.24
2018,North West,Improved A,1594.4,22.27,59.5,6.47,2.41,2.79,2.87,0,4.42
2012,North Central,Improved A,,25.83,15.4,6.91,1.5,1.1,4.57,1,4.56
2014,South East,Improved A,1269.8,25.76,29.7,5.49,2.21,1.59,1.16,0,4.15
2012,North East,Improved A,1352.0,29.03,117.9,7.2,1.57,0.87,2.13,0,4.5
2016,South South,Local,1246.7,27.26,74.9,7.11,2.05,0.37,1.09,0,4.51
2014,North East,Improved B,1088.4,23.95,71.9,6.64,1.37,1.86,2.07,0,4.24
2018,South South,Improved A,1248.5,29.71,108.4,7.27,1.1,2.38,2.79,0,3.77
2016,North West,Local,1468.4,28.44,24.7,5.21,1.81,1.93,1.17,1,3.72
2011,South South,Improved A,943.4,27.16,15.4,5.89,1.94,0.51,3.15,0,3.63
2013,South East,Improved A,,25.55,98.8,5.76,1.8,1.34,3.16,0,4.24
2018,North Central,Local,,24.08,47.1,6.63,1.41,0.44,1.34,1,4.95
2021,South South,Improved B,,25.26,24.1,5.57,1.8,3.75,2.23,0,4.25
2023,South South,Improved B,819.2,28.18,10.0,6.65,2.13,0.86,0.44,0,4.9
2011,North Central,Local,1060.3,29.77,57.5,7.02,1.98,3.5,1.37,0,4.06
2019,South East,Improved B,1294.3,29.09,43.0,6.62,2.09,2.91,1.94,0,4.42
2018,North East,Local,1591.4,25.02,37.4,6.37,1.66,0.96,1.75,0,4.3
2019,South South,Local,1183.6,23.76,3.9,5.61,2.59,0.84,0.59,0,3.83
2014,North Central,Local,1061.2,26.28,136.0,5.69,1.41,2.03,1.02,1,4.42
2011,North West,Improved B,1670.3,22.46,12.6,6.95,2.24,0.99,2.22,1,4.63
2013,North Central,Local,838.0,26.65,40.4,6.67,2.59,1.75,5.0,1,4.95
2021,North West,Improved A,650.3,25.7,35.1,6.18,2.24,1.23,4.01,1,4.74
2021,South East,Improved B,1310.0,25.07,76.4,5.95,1.9,0.57,2.71,0,4.76
2016,North East,Improved B,1074.5,22.81,10.1,,1.74,0.43,3.62,0,3.92
2021,North Central,Improved B,944.7,27.03,70.1,5.56,2.52,1.89,5.25,1,4.83
2022,South West,Improved B,1377.1,24.93,57.7,7.35,1.29,1.18,0.94,0,4.44
2017,South South,Improved A,1261.0,23.66,28.5,5.43,1.51,1.18,5.42,1,4.11
2012,South East,Improved B,1059.0,20.26,68.4,6.31,1.8,2.5,3.76,0,4.95
2023,North Central,Improved B,879.9,25.94,50.7,6.8,2.62,3.33,4.57,0,4.99
2010,South South,Local,1418.1,29.54,,5.45,2.19,1.4,1.01,0,3.82
2013,North Central,Improved B,1362.6,29.32,43.0,6.31,1.52,1.34,1.98,1,4.77
2011,North West,Improved A,1175.2,25.09,21.4,6.76,1.84,2.23,4.42,0,4.29
2017,North Central,Improved A,1661.7,24.8,70.6,6.21,1.69,0.73,2.55,0,4.44
2013,South West,Improved A,932.5,26.94,38.8,7.92,1.65,1.88,2.31,0,3.95
2011,North Central,Improved A,818.6,24.0,50.0,5.2,2.49,2.3,5.27,0,4.03
2023,North Central,Improved B,1027.0,26.6,15.5,,1.31,2.48,2.33,1,4.57
2015,South West,Improved B,1188.6,27.53,77.3,6.1,2.8,0.52,3.11,0,4.77
2015,South East,Improved A,1260.8,28.45,33.9,6.66,2.41,1.04,5.25,0,4.51
2019,North Central,Improved A,1139.7,25.8,61.0,6.46,2.55,0.97,5.6,0,4.8
2013,South West,Improved B,1288.0,25.59,183.4,5.76,1.77,1.75,1.3,0,4.83
2015,South South,Improved A,,24.24,41.0,6.34,1.93,2.2,2.27,0,4.19
2022,North West,Local,1560.9,24.35,84.7,5.09,1.28,4.05,3.94,0,3.72
2011,North West,Improved A,1179.5,25.55,43.3,6.56,1.74,1.23,5.97,0,4.11
2019,North Central,Improved A,1479.3,26.73,28.8,6.38,2.25,1.22,1.33,1,4.83
2021,South East,Local,1285.7,27.83,120.6,6.58,2.65,3.29,4.03,0,4.6
2011,South East,Local,1314.2,24.39,7.0,6.83,1.45,1.97,2.39,0,4.4
2019,South South,Improved B,1342.4,28.99,100.1,6.42,1.82,3.53,5.21,0,4.31
2023,North Central,Improved B,1311.9,25.46,5.9,6.29,1.92,1.96,1.45,0,5.31
2013,North West,Local,1360.7,25.96,93.1,5.67,1.3,0.82,5.3,0,3.21
2023,South East,Local,1532.3,24.51,50.6,5.77,2.3,0.74,3.91,0,3.65
2017,North Central,Improved B,1249.1,21.15,21.4,6.91,1.64,0.65,2.13,0,4.98
2023,South East,Improved A,1377.3,27.77,35.8,7.06,1.9,2.45,0.69,0,5.08
2016,South West,Local,1177.6,27.47,81.6,6.06,1.77,3.36,3.5,0,4.17
2021,South East,Improved B,1560.0,25.44,172.3,6.23,1.61,5.0,2.54,0,5.03
2018,North West,Improved A,1030.9,26.13,10.6,5.66,2.0,2.73,0.5,0,4.32
2023,North East,Local,1650.2,27.03,22.6,,1.89,3.31,5.39,0,3.8
2017,South South,Improved A,1190.0,22.87,14.1,6.6,1.81,1.16,2.18,0,4.48
2014,South South,Improved B,842.3,24.94,43.0,7.36,,0.82,5.12,1,4.37
2022,North West,Local,1232.0,27.59,94.9,5.67,2.16,2.75,3.64,0,3.72
2011,South East,Improved A,1029.7,23.49,12.2,5.97,2.83,2.12,5.45,0,3.94
2014,North Central,Local,1410.2,26.59,49.5,6.34,2.07,1.76,0.21,0,4.72
2017,South East,Improved A,1036.8,23.29,92.8,,2.5,2.08,3.04,1,5.27
2019,North West,Improved B,1088.5,26.93,35.4,6.07,1.3,2.0,6.52,0,3.76
2018,South South,Improved B,727.6,25.93,58.1,5.68,2.08,3.56,1.41,1,4.65
2021,South East,Local,1086.9,22.77,114.8,6.73,1.45,3.59,2.99,0,4.63
2021,South South,Improved A,594.0,28.33,18.9,6.63,1.26,2.29,0.94,1,3.91
2021,North Central,Local,804.0,24.53,7.9,5.65,1.63,2.74,6.36,1,4.02
2022,South South,Local,1390.1,24.38,63.4,7.01,2.6,2.24,2.18,1,4.81
2018,South South,Improved A,1396.5,26.4,64.7,6.9,2.48,1.25,3.15,0,4.7
2022,North East,Improved A,1306.4,28.3,33.4,6.28,2.12,2.6,2.61,0,4.56
2022,North East,Improved A,958.3,23.97,28.1,6.25,1.23,0.71,4.22,0,4.61
2010,South West,Improved B,1188.1,26.12,51.3,6.53,1.9,3.1,1.71,0,4.97
2018,North East,Local,1199.1,26.86,18.6,5.68,2.15,0.81,2.57,1,4.22
2016,South South,Local,910.4,27.39,18.6,6.22,2.09,1.96,2.65,0,3.83
2018,North West,Improved B,1575.8,26.35,81.2,4.91,1.08,0.99,0.61,0,4.0
2017,South South,Improved A,1419.3,25.27,17.4,6.73,1.55,2.3,0.4,0,4.38
2010,North West,Improved B,1144.8,24.34,8.5,5.26,1.97,1.62,3.35,0,3.95
2021,North West,Improved B,1206.7,26.17,28.1,7.1,2.27,0.63,0.46,0,5.08
2017,North East,Improved B,1252.1,23.86,34.1,6.0,0.9,2.12,2.29,1,4.97
2017,South East,Local,689.6,20.16,70.1,6.07,,1.17,1.28,0,3.87
2020,North Central,Improved B,1138.2,26.87,30.2,5.82,,2.8,2.88,0,4.21
2012,North East,Local,1029.5,27.81,127.8,6.03,,1.65,4.15,0,4.69
2010,North East,Local,949.6,21.27,53.4,7.05,2.35,2.09,4.13,0,3.8
2017,South East,Local,1129.7,23.98,24.8,4.71,2.29,0.93,3.24,0,3.66
2012,North Central,Improved A,1649.4,27.24,68.0,6.97,1.6,1.16,3.14,0,4.78
2012,South South,Local,1360.2,30.11,126.3,6.4,1.05,1.25,4.4,0,3.76
2010,South West,Local,1057.2,26.04,79.7,5.48,1.8,2.76,3.21,0,3.53
2020,South West,Improved A,1343.1,24.54,11.5,5.55,2.5,4.51,1.81,0,4.19
2014,South South,Local,1549.8,25.63,36.6,7.21,2.7,1.02,0.46,0,4.86
2019,North East,Improved B,1431.2,28.75,60.3,5.63,2.36,3.15,4.86,1,4.53
2016,North Central,Improved B,1214.9,24.71,77.4,,2.21,0.45,6.52,1,4.52
2019,North East,Local,1038.3,24.4,43.2,6.88,2.19,0.81,1.93,1,4.39
2018,North West,Improved A,1374.6,25.03,38.6,6.4,1.72,0.93,2.06,0,5.06
2021,North East,Improved B,1298.4,24.09,156.7,5.64,1.93,0.73,0.41,1,5.17
2016,North East,Improved A,1423.8,26.25,80.5,6.33,2.83,0.64,2.06,1,4.98
2018,South South,Improved A,1358.8,29.25,68.2,5.58,1.53,2.11,2.51,1,4.13
2017,South South,Improved B,1462.4,26.65,31.3,6.86,2.81,1.45,1.37,0,4.96
2021,South South,Improved A,1066.2,25.5,18.3,6.84,1.84,2.07,1.3,0,4.38
2011,South West,Improved B,1529.3,25.42,69.0,6.52,2.66,2.49,2.72,1,5.28
2010,North West,Improved A,1249.4,22.87,86.6,6.42,1.3,1.93,2.46,0,4.91
2016,South South,Improved B,1718.8,27.77,49.8,7.26,2.29,2.45,1.41,0,4.43
2016,North Central,Local,1027.7,25.84,80.6,6.2,1.63,1.58,4.86,1,4.91
2023,South West,Improved B,1634.0,25.64,82.1,5.49,,0.81,0.15,0,3.95
2017,South East,Improved B,1249.5,32.39,90.6,6.47,2.11,3.11,4.54,0,4.63
2014,North Central,Improved B,1037.1,26.6,11.2,7.45,2.5,1.16,1.42,0,4.67
2012,North Central,Improved B,1079.0,24.5,37.4,5.59,1.58,0.94,2.41,1,4.68
2021,South South,Improved A,1119.9,25.15,72.0,5.98,1.25,1.48,3.34,0,4.2
2017,South East,Local,1306.0,28.3,52.0,6.45,1.95,0.95,2.81,0,4.09
2015,South East,Improved B,1330.7,26.23,82.2,6.17,1.96,1.28,2.06,0,4.96
2020,South West,Improved A,1056.6,23.12,68.1,5.61,2.27,2.03,1.85,1,4.23
2012,South East,Local,1193.9,27.84,4.4,6.87,2.47,2.03,2.46,0,4.34
2010,North West,Local,1735.6,24.66,105.7,7.59,1.97,0.96,4.38,1,4.35
2012,South South,Local,1631.9,29.75,33.7,6.32,2.93,1.23,3.49,1,4.1
2014,South East,Local,1309.1,28.16,23.5,5.66,2.11,3.14,1.18,0,4.01
2023,South West,Improved B,1209.5,25.11,103.3,5.27,1.83,2.22,5.55,0,4.2
2012,North West,Improved B,1230.0,28.56,77.9,6.35,1.19,5.73,0.77,0,4.72
2010,North East,Improved A,1353.4,26.14,113.2,6.86,1.87,3.35,4.84,0,4.77
2014,North East,Improved A,944.3,27.71,60.8,6.49,1.83,3.28,3.68,0,4.19
2019,North West,Improved A,1135.7,26.97,37.0,6.2,2.48,0.72,0.81,1,4.94
2016,South West,Local,782.9,24.31,55.8,,,2.61,4.56,1,3.63
2023,North West,Local,1299.8,24.71,19.8,5.54,1.41,1.6,3.74,0,3.63
2016,South South,Improved B,1361.8,28.06,13.8,6.7,2.09,1.18,3.4,0,4.42
2020,South South,Local,1079.2,25.33,29.4,6.75,2.34,1.82,1.47,0,4.14
2018,North East,Local,1593.5,25.19,136.0,5.27,2.76,2.91,2.67,0,4.48
2019,South East,Local,893.6,24.09,32.0,7.15,2.44,2.23,1.6,0,4.24
2019,South West,Improved A,833.9,26.85,8.7,6.54,2.38,0.97,3.05,1,4.17
2021,North East,Improved A,1256.1,30.13,44.2,7.04,2.03,2.57,1.04,1,4.86
2022,South East,Improved B,1461.8,23.86,31.6,5.39,2.19,1.12,5.86,0,3.48
2012,South East,Local,1621.0,26.05,107.0,5.38,2.62,1.88,2.83,1,4.63
2016,South South,Local,1085.3,28.82,129.7,6.11,1.33,1.37,2.13,0,4.4
2010,North Central,Improved B,1469.7,25.84,35.6,6.5,1.83,1.45,3.56,0,4.67
2013,North Central,Local,1190.4,26.9,60.8,7.28,1.61,2.61,5.73,0,3.98
2022,North West,Local,1156.8,23.88,64.5,6.62,2.19,0.88,1.64,0,4.82
2013,South South,Improved A,1420.9,26.86,48.1,6.05,2.62,5.3,4.14,1,5.1
2023,South East,Improved B,1363.1,25.63,41.6,5.58,1.7,0.55,2.93,0,4.0
2014,South West,Improved B,805.9,27.97,22.1,6.94,0.8,1.15,2.42,0,4.26
2016,North Central,Improved B,1569.1,28.37,7.2,5.62,1.79,2.06,0.27,0,4.22
2016,South East,Improved B,1545.0,31.18,21.9,7.18,2.46,2.34,3.31,0,4.03
2022,North Central,Improved A,1043.6,27.16,46.8,6.03,2.27,1.55,4.03,0,4.57
2020,North Central,Improved A,1299.0,26.65,12.2,7.15,2.21,1.59,4.9,0,4.65
2022,North Central,Local,1323.5,26.39,58.5,6.61,1.86,2.11,4.1,0,4.62
2013,South West,Local,1265.2,25.29,52.7,6.12,1.36,1.44,2.32,0,4.05
2022,South South,Local,1062.4,26.68,31.7,5.89,2.26,3.8,1.38,0,3.99
2016,South West,Local,1032.1,25.41,40.2,6.0,1.58,2.73,0.31,0,4.28
2020,North East,Improved A,1193.6,26.34,14.7,6.46,3.09,2.78,4.21,0,4.61
2012,South East,Improved B,1493.2,28.64,89.5,6.25,2.29,0.92,3.32,0,4.94
2015,South South,Improved A,1335.9,23.99,88.5,5.84,1.71,1.57,2.61,1,4.46
2021,South South,Local,1107.3,28.28,17.4,6.1,1.69,1.38,1.36,0,3.8
2011,South South,Improved A,1392.9,28.63,17.9,6.25,1.95,0.9,0.59,0,4.85
2019,South South,Improved B,487.9,25.76,22.2,4.92,1.88,2.05,6.01,0,2.62
2022,South West,Improved B,1487.2,21.76,74.5,6.47,2.56,1.19,5.43,0,4.73
2023,South South,Improved A,765.1,24.78,64.4,5.61,,2.44,6.3,0,3.91
2018,North West,Improved A,1109.4,28.59,102.5,5.51,1.63,0.87,5.84,0,4.04
2014,South East,Improved A,920.1,25.95,110.4,5.19,2.95,4.62,2.62,0,4.61
2015,South South,Local,876.3,24.0,11.1,5.12,2.02,0.96,1.37,0,4.05
2021,South East,Improved A,1490.2,24.99,72.7,5.39,2.38,1.88,2.12,1,4.64
2021,North West,Improved A,1083.1,27.68,,5.77,1.7,2.65,1.44,0,4.2
2021,North West,Improved A,1286.6,27.09,38.1,7.37,2.18,1.17,1.65,0,4.6
2021,South East,Improved B,1188.3,25.52,49.1,5.88,2.16,2.75,3.51,0,4.34
2013,North Central,Improved B,1319.3,25.27,43.5,6.31,1.06,0.79,1.24,1,4.91
2023,North East,Local,1219.2,25.22,45.1,6.44,3.01,3.94,3.0,0,4.37
2023,North Central,Local,879.3,24.16,89.3,6.28,2.65,1.66,0.88,0,5.16
2020,North Central,Improved B,1449.1,29.23,153.0,6.15,1.8,1.15,2.81,0,4.86
2019,South West,Improved B,1076.6,25.36,,5.48,1.45,1.38,2.63,0,4.09
2016,North Central,Improved B,810.9,28.43,32.9,7.07,2.17,2.68,5.72,0,4.4
2021,South South,Improved A,1093.0,29.04,60.9,7.28,2.04,1.16,0.98,1,4.51
2018,South West,Improved A,1575.2,28.0,25.4,5.19,2.18,1.05,1.81,0,3.54
2016,South West,Improved B,1412.6,25.14,27.7,,2.1,1.44,1.92,0,4.27
2023,North West,Improved A,1112.8,26.81,47.4,6.03,2.25,0.81,4.38,0,4.19
2010,North Central,Improved A,1112.7,25.95,27.1,5.62,2.72,4.92,2.77,0,4.43
2010,North West,Local,1119.6,24.19,30.7,6.5,2.28,1.17,3.6,0,3.56
2018,South East,Improved B,1719.2,26.65,59.9,5.76,1.48,2.72,2.98,0,3.86
2020,North East,Improved B,1295.5,23.64,72.0,7.5,,1.87,1.1,0,5.32
2023,South West,Improved A,1307.5,28.38,70.6,6.91,2.82,0.91,1.52,0,4.78
2018,South East,Improved B,1457.6,25.07,71.1,6.33,3.58,1.64,3.9,0,5.07
2013,South East,Local,1259.7,26.4,15.8,6.82,1.44,2.64,3.31,0,4.38
2022,South South,Local,1135.2,26.57,25.9,6.86,2.12,1.47,2.01,0,4.17
2018,North East,Local,,25.48,51.5,5.86,0.96,3.37,0.49,0,4.05
2012,South East,Improved B,1182.1,27.17,104.1,5.71,,3.04,1.23,0,4.98
2016,South East,Improved B,1190.7,25.05,208.8,6.25,1.73,2.86,3.35,0,5.1
2015,North East,Improved B,1381.9,27.74,62.7,6.72,2.96,1.25,1.4,0,4.57
2017,North East,Improved B,1213.0,23.31,83.5,6.28,1.61,0.86,5.79,0,4.32
2020,South East,Improved B,1383.2,26.25,14.0,5.25,1.16,1.14,7.42,1,4.35
2018,North East,Local,1179.8,29.88,81.9,5.72,1.76,1.85,2.3,0,3.46
2023,South East,Improved A,1219.7,24.0,173.7,6.16,1.01,2.29,4.15,0,5.49
2014,South East,Local,,24.64,25.8,6.15,2.38,0.45,3.33,1,4.8
2010,South South,Improved B,1429.1,27.03,31.6,7.38,0.97,1.64,4.27,0,4.14
2012,North Central,Local,1286.6,26.36,91.2,5.37,2.01,1.81,6.61,0,3.86
2019,South East,Improved B,1449.5,26.7,51.0,6.5,0.96,1.4,2.93,1,4.68
2021,North West,Improved B,475.9,26.98,6.4,7.09,1.84,3.58,0.13,0,4.17
2017,South West,Local,1722.1,27.27,33.2,7.56,2.82,2.12,3.37,0,3.95
2020,North Central,Improved B,1165.1,28.22,129.3,5.96,2.18,3.62,5.17,0,4.42
2015,North Central,Improved A,1477.0,26.82,40.0,6.49,1.57,1.45,0.57,0,4.41
2017,North Central,Improved B,940.0,25.52,39.9,6.54,1.98,2.89,6.07,0,4.13
2018,South South,Improved A,1353.2,27.35,87.3,,,4.4,6.44,0,4.78
2013,South East,Improved A,936.6,29.8,64.4,6.14,2.24,3.62,4.4,1,4.03
2010,South South,Improved B,1044.1,25.73,38.2,6.46,1.32,0.86,0.79,1,5.02
2023,South East,Local,1678.5,24.05,29.8,4.68,2.3,1.42,2.64,1,3.22
2010,South South,Improved A,1152.3,28.21,273.3,6.61,0.65,1.34,1.45,1,4.68
2019,South South,Local,1254.4,25.76,115.4,6.28,1.69,2.21,3.45,1,4.72
2013,South West,Improved A,1417.5,21.65,71.1,6.07,1.76,2.49,1.21,0,5.12
2021,North West,Improved B,1323.9,27.69,74.3,7.43,2.32,1.0,5.18,0,4.47
2023,South South,Improved B,1237.6,24.93,45.3,5.8,2.01,1.72,2.29,0,3.86
2016,South West,Improved A,1291.2,25.82,63.8,5.96,1.3,0.49,2.12,1,4.46
2011,North East,Improved B,1800.9,26.66,41.6,7.39,1.51,3.92,1.96,0,4.17
2012,North West,Improved A,1185.6,26.38,23.7,5.7,2.1,1.21,1.82,0,4.1
2010,South South,Improved B,1250.3,27.42,65.6,,1.96,1.7,2.52,0,4.4
2014,North Central,Local,1462.7,25.13,38.8,6.11,1.71,1.37,0.41,0,4.37
2010,North East,Improved B,1476.4,27.03,68.1,6.7,1.76,3.28,3.58,0,4.2
2017,North East,Local,1496.8,25.48,77.4,6.32,2.35,0.3,1.56,0,4.35
2010,South West,Improved B,1359.7,27.48,70.7,5.42,1.74,1.63,4.24,0,3.88
2020,North East,Local,914.2,27.23,22.0,5.88,1.96,1.55,4.47,0,3.4
2010,North West,Improved B,1608.4,24.13,,5.84,3.08,1.26,4.45,0,4.84
2011,South South,Local,913.4,28.17,39.4,6.15,1.29,4.64,3.5,0,4.07
2011,South South,Improved A,1275.7,24.93,98.1,6.46,1.07,0.97,3.16,0,4.69
2021,North Central,Improved A,1011.4,27.62,94.7,,2.39,2.62,4.98,0,4.92
2015,South West,Local,1184.0,26.73,27.2,5.13,1.66,2.04,3.53,0,3.57
2016,North Central,Improved B,1282.2,29.68,15.4,6.84,1.84,3.51,3.49,1,4.48
2014,North East,Local,1280.3,25.55,215.2,6.35,1.61,1.1,3.98,0,4.44
2010,North Central,Improved B,1305.5,25.3,68.7,7.03,1.87,1.06,5.92,0,4.57
2010,North West,Improved A,1603.4,25.96,13.4,6.47,,3.18,6.54,0,3.69
2012,South South,Improved B,1313.4,25.39,31.2,6.86,2.4,2.13,0.68,0,4.73
2023,North East,Improved A,1139.0,27.6,100.9,6.48,2.43,0.65,4.47,1,4.92
2011,North Central,Improved B,1441.0,22.77,182.3,7.01,1.29,1.19,1.16,0,4.82
2014,South West,Improved B,1497.4,23.89,163.1,6.51,1.42,2.08,2.81,0,4.75
2021,North West,Improved B,893.1,23.86,66.7,6.14,0.58,2.73,1.2,0,4.62
2019,North West,Local,,27.9,50.1,7.56,1.6,1.1,1.99,1,4.53
2015,North Central,Local,1375.3,29.42,20.1,6.73,2.48,0.29,0.7,1,4.59
2016,South South,Improved A,1125.6,25.79,53.4,6.54,2.26,2.26,4.55,0,4.75
2013,North Central,Improved A,,25.66,22.7,5.43,1.89,0.79,3.8,0,4.06
2016,North East,Local,1162.5,26.14,35.8,5.43,1.99,0.49,6.62,1,3.56
2020,North Central,Improved A,1231.4,28.32,91.2,6.38,1.66,0.3,4.41,0,4.71
2017,North West,Local,1156.7,24.15,41.5,6.29,2.1,2.69,0.69,1,4.39
2020,North Central,Improved B,1203.9,26.48,39.3,5.83,2.38,1.78,5.1,0,4.23
2010,South South,Improved A,925.9,27.95,48.1,6.28,1.19,1.44,1.49,0,4.11
2015,South West,Improved A,840.0,27.0,,7.15,2.15,3.79,3.15,0,5.13
2017,South East,Local,1598.6,26.38,18.1,6.62,2.47,2.42,1.04,0,4.56
2014,North Central,Improved A,988.3,28.0,,5.52,,4.35,5.93,0,3.46
2013,South South,Improved A,952.2,20.59,,6.13,,0.71,1.49,1,5.41
2011,South South,Improved B,661.7,27.36,48.0,5.72,3.41,1.61,1.73,0,4.53
2015,South West,Improved A,1040.3,24.69,113.9,,1.95,0.62,5.4,0,4.26
2015,North West,Improved B,869.2,22.34,14.3,5.95,2.2,1.44,2.06,0,4.31
2020,South South,Local,1610.5,27.02,42.5,5.91,1.63,1.42,5.55,0,2.93
2010,South South,Improved A,1452.5,28.75,25.0,5.45,2.09,2.4,2.65,1,3.2
2018,South South,Improved B,1028.0,25.73,47.6,6.12,2.23,1.69,2.08,1,4.73
2021,South South,Local,1763.1,27.91,48.4,5.86,2.1,2.4,0.54,0,3.9
2020,North East,Improved A,1445.4,29.22,52.3,4.5,1.49,2.51,4.45,1,3.58
2015,North East,Local,1118.8,28.63,90.6,7.43,2.1,6.01,6.18,1,3.8
2022,North West,Improved A,575.1,29.28,3.7,6.85,2.73,1.36,3.08,1,3.94
2012,North Central,Local,1772.7,27.48,30.0,5.97,2.22,0.94,6.2,0,3.5
2013,South South,Local,852.6,26.15,58.6,6.21,2.48,1.91,1.59,1,4.6
2021,South West,Improved B,788.7,22.8,6.8,5.5,1.88,1.02,3.65,0,3.66
2020,North Central,Local,1455.6,25.51,78.0,7.22,2.37,4.01,1.98,0,4.63
2013,South West,Improved A,1809.9,24.31,29.5,7.34,2.14,1.39,5.66,1,4.58
2012,North Central,Improved A,1546.1,30.34,43.2,6.29,1.52,1.17,2.13,0,4.35
2019,North West,Improved B,1341.0,25.65,93.4,6.81,2.16,1.24,3.18,0,4.97
2012,South South,Improved A,1348.7,26.25,117.4,6.31,1.5,2.54,4.54,1,5.23
2012,South South,Improved A,1413.4,27.1,79.7,5.4,1.68,1.5,5.45,1,4.21
2013,South East,Improved A,1389.7,26.09,17.6,5.95,2.09,1.12,6.1,0,4.15
2016,South West,Local,1270.3,29.39,77.0,6.28,2.15,4.48,0.54,1,4.47
